"Name","State","Group","epoch","records","train_loss","valid_loss","valid_noise_loss","valid_atom_loss","train_accuracy","valid_accuracy","valid_noise_accuracy","valid_atom_accuracy"
"09302024-XCiT-dataset_v5_size-10m","finished","dataset_v5_size_vs_records-XCiT","20","162894513","0.0071429360591658475","0.013827418111115515","0.1301096459879887","0.7777667565439261","0.997795291728189","0.996753512009998","0.9746176470588236","0.9185735294117648"
"09302024-XCiT-dataset_v5_size-2m","finished","dataset_v5_size_vs_records-XCiT","50","84069723","0.0025180477929316707","0.03674906460999419","0.24486311713270112","1.0434155507824","0.9991164938460936","0.9955366730472944","0.9643333333333334","0.9181078431372548"
"09302024-XCiT-dataset_v5_size-5m","finished","dataset_v5_size_vs_records-XCiT","20","81499273","0.005594978005718691","0.01581231725753917","0.24950083474610368","0.9461037572108064","0.9980686576563812","0.9964760259582612","0.9604509803921568","0.909779411764706"
"09302024-XCiT-dataset_v5_size-1m","finished","dataset_v5_size_vs_records-XCiT","100","59215473","0.0025735527081034004","0.04567666451384209","0.3314117834001195","1.4526042498677385","0.9991012201228644","0.9944532636100476","0.9542058823529412","0.8862794117647059"
"09302024-XCiT-dataset_v5_size-500k","finished","dataset_v5_size_vs_records-XCiT","150","62657117","0.0024750668020577537","0.06084326097944758","0.36136803392686095","1.7747347731566896","0.999118697196266","0.993102068426719","0.944156862745098","0.8678039215686274"
"09112024-resnet50-dataset_v5_size-10m","finished","dataset_v5_size_vs_records","20","162894513","0.012698021533865348","0.01823446964256126","0.20470388549215657","0.9027240651495316","0.996927764116523","0.9953580917335938","0.9454803921568627","0.858063725490196"
"09032024-resnet50-dataset_v5_size-5m","finished","dataset_v5_size_vs_records","20","81499273","0.011643141815297535","0.02093663481687878","0.2733896379961687","1.1836738537339604","0.9972768866593356","0.994947476539521","0.9351470588235294","0.842421568627451"
"09282024-FPN-dataset_v5_size-10m","finished","dataset_v5_size_vs_records-FPN","20","162894513","0.01037220703655542","0.016831977674777652","0.2618321818463943","1.4418824904105243","0.997424728003308","0.9958898360276134","0.9507450980392156","0.8288186274509803"
"09052024-resnet50-dataset_v5_size-2m","finished","dataset_v5_size_vs_records","40","66933453","0.02689988384149006","0.05912575286852779","0.4259127799202414","0.8652912988382228","0.9933970461483158","0.9854755123955368","0.8729509803921569","0.8287401960784314"
"09272024-FPN-dataset_v5_size-5m","finished","dataset_v5_size_vs_records-FPN","20","81499273","0.006961970714277325","0.02049689072593987","0.23772004947942849","1.7372711770674762","0.9978172610278973","0.9955889630701712","0.9532843137254902","0.813171568627451"
"09022024-resnet50-dataset_v5_size-1m","finished","dataset_v5_size_vs_records","80","67782643","0.003057831028173934","0.0838510262178867","0.669094485395095","2.162076642934014","0.999058031998898","0.988178167896162","0.8783529411764706","0.7809754901960785"
"09252024-FPN-dataset_v5_size-1m","finished","dataset_v5_size_vs_records-FPN","100","84916983","0.0026282162147406697","0.06903731607986728","0.4976638327626622","2.273154487329371","0.9990965511364897","0.9914604538238864","0.922578431372549","0.7744950980392157"
"09262024-FPN-dataset_v5_size-2m","finished","dataset_v5_size_vs_records-FPN","50","84069723","0.008375254152717629","0.04221244629461537","0.342221880309722","1.915270781517029","0.9978233302813272","0.9920234371352538","0.9287843137254902","0.7698676470588235"
"09252024-FPN-dataset_v5_size-500k","finished","dataset_v5_size_vs_records-FPN","200","83648767","0.002159732719815345","0.1083194767976113","0.7663910823709824","3.5501721326042626","0.9992425559686828","0.9859945311978964","0.8689705882352942","0.6653235294117648"
"09302024-XCiT-dataset_v5_size-100k","finished","dataset_v5_size_vs_records-XCiT","300","25720320","0.001597566272257323","0.2677599475567517","2.094841022351209","3.5226983187712877","0.9993697478991596","0.9637271836048736","0.7185098039215686","0.6597254901960784"
"09022024-resnet50-dataset_v5_size-500k","finished","dataset_v5_size_vs_records","200","16475487","0.0027775749831859","0.16769050522030332","1.239963277648477","3.2584902440800385","0.9990972601010402","0.9776674701550128","0.7768235294117647","0.6494509803921569"
"09242024-FPN-dataset_v5_size-100k","finished","dataset_v5_size_vs_records-FPN","300","25720320","0.0016441368182820426","0.5609784832126948","3.2344506207634423","4.122468463112326","0.9994631185807656","0.9184445170626956","0.4347156862745098","0.5578186274509804"
"09082024-resnet50-dataset_v5_size-100k","finished","dataset_v5_size_vs_records","240","13725120","0.002237418809310854","0.8693086049992031","3.85390669037314","4.233155312257654","0.9994281045751634","0.875589374912469","0.37180392156862746","0.5430392156862746"